Wall time,Step,Value
1524666126.008419,5068,2.27209210395813
1524666148.6821582,5083,2.3065152168273926
1524666163.0377243,5089,2.290436029434204
1524666185.1784377,5104,2.2534947395324707
1524666208.132964,5119,2.2964820861816406
1524666230.5047274,5134,2.2756283283233643
1524666253.8068795,5149,2.370823383331299
1524666276.177095,5164,2.2855992317199707
1524666299.0436287,5179,2.3069252967834473
1524666314.1262553,5185,2.2443439960479736
1524666336.4645262,5200,2.4558262825012207
1524666358.5160186,5215,2.29093337059021
1524666381.3670368,5230,2.1904611587524414
1524666403.7042847,5245,2.3110311031341553
1524666426.9125447,5260,2.3705801963806152
1524666449.1285064,5275,2.38444185256958
1524666463.5507667,5281,2.311720132827759
1524666485.9919353,5296,2.1805925369262695
1524666509.4880881,5311,2.272059917449951
1524666531.8734581,5326,2.1851866245269775
1524666554.9657576,5341,2.235093355178833
1524666577.287692,5356,2.255218267440796
1524666599.4661994,5371,2.377148151397705
1524666614.021468,5377,2.301906108856201
1524666637.184065,5392,2.266813278198242
1524666659.530611,5407,2.336179256439209
1524666681.866969,5422,2.1890668869018555
1524666704.5465386,5437,2.336200714111328
1524666726.8695214,5452,2.392932653427124
1524666749.2175434,5467,2.1930525302886963
1524666763.8131576,5473,2.2526602745056152
1524666786.8464382,5488,2.3035213947296143
1524666809.2284527,5503,2.23712158203125
1524666832.3607614,5518,2.22131085395813
1524666855.1064234,5533,2.329202175140381
1524666878.5208313,5548,2.222280502319336
1524666901.3310978,5563,2.24139404296875
1524666915.021246,5569,2.2830843925476074
1524666937.039975,5584,2.1804544925689697
1524666959.9320762,5599,2.2608423233032227
1524666982.1952825,5614,2.337887763977051
1524667004.9922674,5629,2.1398329734802246
1524667026.9986358,5644,2.189523458480835
1524667049.9853022,5659,2.1921420097351074
1524667063.7834163,5665,2.2166781425476074
1524667086.8855999,5680,2.120133399963379
1524667109.086609,5695,2.316368341445923
1524667132.0850368,5710,2.2993781566619873
1524667154.4945889,5725,2.2407939434051514
1524667177.6304893,5740,2.2582952976226807
1524667200.1546128,5755,2.283602237701416
1524667214.690653,5761,2.276345729827881
1524667237.0350513,5776,2.3175108432769775
1524667260.2366087,5791,2.2424821853637695
1524667282.2993174,5806,2.1095995903015137
1524667305.298169,5821,2.199639320373535
1524667327.5609465,5836,2.2571237087249756
1524667349.7303376,5851,2.220414638519287
1524667364.4620757,5857,2.200759172439575
1524667387.9040275,5872,2.1205832958221436
1524667410.2968779,5887,2.2498834133148193
1524667433.2453206,5902,2.15470814704895
1524667455.551584,5917,2.2467944622039795
1524667478.2529812,5932,2.2638678550720215
1524667500.9233403,5947,2.3618388175964355
1524667515.3249307,5953,2.318260669708252
1524667537.946646,5968,2.106407642364502
1524667560.9570146,5983,2.3034937381744385
1524667583.4723988,5998,2.2307493686676025
1524667606.3578887,6013,2.154675245285034
1524667628.667929,6028,2.1901986598968506
1524667651.9233754,6043,2.203922986984253
1524667665.70416,6049,2.25490403175354
1524667689.0539377,6064,2.12575101852417
1524667712.0831435,6079,2.154548406600952
1524667734.3167663,6094,2.2473971843719482
1524667756.9665344,6109,2.2088770866394043
1524667780.518244,6124,2.222632884979248
1524667802.7910216,6139,2.2639245986938477
1524667816.769984,6145,2.269883632659912
1524667839.0834734,6160,2.1340761184692383
